,news_text
146,"สำนักงานควบคุมและป้องกันโรคของเกาหลีใต้หรือ เคดีซีเอ รายงานพบผู้ติดเชื้อโรคโควิด-19 รายใหม่ 543 คน นับเป็นวันที่ 4 ติดต่อกัน ที่มียอดผู้ติดเชื้อรายวันมากกว่า 500 คน ส่วนใหญ่ เป็นการติดเชื้อแบบกลุ่มย่อยในพื้นที่กรุงโซลและจังหวัดคยองกี ส่งผลให้เกาหลีใต้มียอดผู้ติดเชื้อสะสมมากกว่า 104,700 คน และมียอดผู้เสียชีวิต 1,740 คน"
147,สำนักข่าวต่างประเทศ รายงานว่า นายกรัฐมนตรีโยชิฮิเดะ ซูงะ ของญี่ปุ่น วัย 72 ปี เข้ารับการฉีดวัคซีนป้องกันโรคโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค เข็มที่สอง แล้วในวันนี้ เพื่อเตรียมพร้อมสำหรับการเดินทางเยือนสหรัฐฯ อย่างเป็นทางการในสัปดาห์หน้า โดยสำนักนายกรัฐมนตรีญี่ปุ่น เปิดเผยว่า นายกรัฐมนตรีซูงะ มีสุขภาพดีหลังเข้ารับการฉีดวัคซีนดังกล่าว ขณะที่ เจ้าหน้าที่และสื่อมวลชนที่ร่วมคณะเดินทางเยือนสหรัฐฯ ในครั้งนี้ จะเข้ารับการฉีดวัคซีนป้องกันโรคโควิด-19 ก่อนออกเดินทาง ด้วยเช่นกัน
148,ญี่ปุ่นเริ่มฉีดวัคซีนป้องกันโรคโควิด-19 ให้ผู้สูงอายุแล้ววันนี้ ขณะที่วัคซีนที่นำเข้ามีจำนวนไม่มากนัก และมีแนวโน้มว่าจะไม่สามารถหยุดยั้งการระบาดระลอก 4 ได้ ซึ่งจำนวนผู้ติดเชื้อพุ่งสูงขึ้นเรื่อยๆ
149,นายอัลเบิร์ต บัวร์ลา กรรมการบริหารบริษัทไฟเซอร์ ยักษ์ใหญ่ด้านการผลิตยาของสหรัฐ กล่าววานนี้ว่า บริษัทไฟเซอร์ได้เร่งการผลิตวัคซีนป้องกันโรคโควิด-19 และจะสามารถจัดส่งในสหรัฐได้อีกร้อยละ 10 ซึ่งมากกว่าที่คาดการณ์ไว้ภายในสิ้นเดือนพฤษภาคมนี้
150,ผู้ประกาศ : หลายประเทศทั่วโลกต่างเร่งวิจัยและพัฒนาวัคซีนเพื่อป้องกันโรคโควิด-19 ซึ่งขณะนี้มีวัคซีนที่ได้รับการยอมรับและอนุมัติให้ใช้แล้วหลายขนาน ทั้งของจีน สหรัฐ อังกฤษ รัสเซีย และอินเดีย รายละเอียดจะเป็นอย่างไร ติดตามจากรายงานพิเศษ
151,รัฐบาลอังกฤษเริ่มผ่อนคลายมาตรการล็อกดาวน์ ระยะที่ 2 ตั้งแต่วันที่ 12 เมษายน ที่ผ่านมา นับเป็นครั้งแรกในรอบหลายเดือนที่ร้านอาหาร ผับกลางแจ้ง ร้านค้าปลีก โรงยิม และร้านตัดผม กลับมาเปิดให้บริการอีกครั้ง ซึ่งเป็นผลมาจากความสำเร็จในกระบวนการฉีดวัคซีนโควิด-19
152,นายอัลเบิร์ต บัวร์ลา ประธานเจ้าหน้าที่บริหารของบริษัทไฟเซอร์กล่าวระหว่างให้สัมภาษณ์เมื่อเมื่อวานนี้ว่า ผู้ได้รับวัคซีนป้องกันโควิด-19 ครบสองโดสแล้วอาจจำเป็นต้องฉีดโดสที่สาม เพื่อกระตุ้นภูมิคุ้มกันภายในระยะเวลา 6-12 เดือน และว่ามีความเป็นไปได้ที่ประชาชนอาจต้องฉีดวัคซีนป้องกันโรคโควิด-19เป็นประจำทุกปี อย่างไรก็ตามนายบัวร์ลากล่าวว่าข้อมูลทั้งหมดยังต้องรอการยืนยันจากผู้เชี่ยวชาญก่อน ขณะที่นักวิจัยทั่วโลกยังไม่สามารถชี้ชัดได้ว่า วัคซีนชนิดต่างๆ ที่มีอยู่จะสามารถป้องกันการติดเชื้อโควิด-19 ได้นานเพียงใด.
153,สำนักข่าวต่างประเทศ รายงานโดยอ้างการเปิดเผยของนายแพทย์อัลเบิร์ต บัวร์ลา ประธานกรรมการบริหารของไฟเซอร์ บริษัทเวชภัณฑ์ใหญ่ของสหรัฐฯ ที่ระบุว่า ประชาชนที่ฉีดวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค ครบทั้ง 2 โดสแล้ว อาจต้องฉีดวัคซีนกระตุ้นภูมิคุ้มกันเข็มที่ 3 ภายในระยะเวลา 6 -12 เดือน และฉีดวัคซีนดังกล่าว เป็นประจำทุกปี หลังผลการศึกษาระบุว่า วัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค มีประสิทธิภาพในการป้องกันโรคโควิด-19 สูงมาก ในช่วง 6 เดือนแรก จากนั้นประสิทธิภาพจะลดลงตามระยะเวลา
154,"สำนักงานควบคุมและป้องกันโรคของเกาหลีใต้หรือเคดีซีเอ รายงานพบผู้ติดเชื้อโรคโควิด-19 รายใหม่ 673 คน ในรอบ 24 ชั่วโมง ที่ผ่านมา นับเป็นยอดผู้ติดเชื้อ มากกว่า 600 คน เป็นวันที่ 3 ติดต่อกัน และเป็นยอดผู้ติดเชื้อรายวันมากกว่า 100 คน ต่อเนื่อง นับตั้งแต่วันที่ 8 พฤศจิกายน ปีที่แล้ว ซึ่งส่วนใหญ่เป็นการติดเชื้อแบบกลุ่มย่อยในพื้นที่กรุงโซล และจังหวัดคยองกี ส่งผลให้มียอดผู้ติดเชื้อสะสมกว่า 112,000 คน และมียอดผู้เสียชีวิต 1,790 คน"
155,"คณะกรรมการร่วมด้านการฉีดวัคซีนและการสร้างภูมิคุ้มกันของอังกฤษแนะนำให้                   หญิงตั้งครรภ์ทุกคนสามารถเข้ารับการฉีดวัคซีนป้องกันโรคโควิด-19  ได้แล้ว โดยเลือกฉีดวัคซีนของไฟเซอร์หรือโมเดอร์นา ซึ่งจะพิจารณาตามอายุและกลุ่มเสี่ยงทางคลินิก หลังได้ข้อมูลจากสหรัฐที่บ่งชี้ว่า หญิงตั้งครรภ์ประมาณ 90,000 คนได้รับการฉีดวัคซีนแล้วโดยไม่มีข้อกังวลด้านความปลอดภัย"
156,"พลเอก ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม  กล่าวถึงการเข้าถึงวัคซีนโควิด-19 ภายใต้แอปพลิเคชันหมอพร้อม ของกระทรวงสาธารณสุขว่า จะเริ่มเปิดให้ลงทะเบียนในวันที่ 1 พฤษภาคมนี้ เนื่องจากต้องมีการเตรียมการเพื่อให้เข้าถึงประชาชนทั้งประเทศโดยเร็ว เพราะจะได้ดูตัวเลขว่าประชาชนมีความพร้อมเข้าถึงวัคซีนในจำนวนเท่าใด ซึ่งขณะนี้ไทยนำวัคซีนเข้ามามากกว่า 2 ล้านโดสแล้ว ซึ่งในส่วนของวัคซีนที่จะเข้ามาในประเทศไทยได้มีการประมาณการเอาไว้ ว่าวันที่ 24 เมษายนนี้ วัคซีนซิโนแวคจะเข้ามาอีก 500,000 โดส พฤษภาคมวัคซีนซิโนแวคเข้ามา 1,000,000 โดส แต่ต้องรอ นโยบายที่ชัดเจนของรัฐบาลจีนก่อน ส่วนวัคซีนแอสตร้าเซนเนก้า ที่ผลิตในไทยจะทยอยส่ง 4-6 ล้านโดส และเพิ่มจำนวนในเดือนกรกฎาคมจนถึงสิ้นปี จำนวน 61 ล้านโดส และหากบวกกับวัคซีนทางเลือกที่จะหาเข้ามาเพิ่มเติมก็เชื่อมั่นว่าจะเพียงพอ ขณะเดียวกันสถาบันวัคซีนจะเจรจากับวัคซีนของไฟเซอร์ และมีความเป็นไปได้ว่าจะส่งให้ไทยได้ในเดือนกรกฎาคมจนถึงสิ้นปี จำนวน 5-10 ล้านโดส แต่อยู่ระหว่างการพิจารณาใบเสนอราคาและเงื่อนไขของการนำเข้า โดยยืนยันรัฐบาลไม่นิ่งนอนใจในการนำเข้าวัคซีน"
157,สำนักงานสาธารณสุขสวีเดน ออกประกาศที่ระบุว่า พลเมืองสวีเดนที่มีอายุ ต่ำกว่า 65 ปี ซึ่งเข้ารับการฉีดวัคซีนโควิด-19 ของแอสตราเซเนกา โดสแรกไปแล้ว จะได้รับการฉีดวัคซีนโควิด-19 เข็มที่สอง ด้วยวัคซีนชนิดเอ็มอาร์เอเอ็น เช่น วัคซีนของไฟเซอร์-ไบโอเอ็นเทค หรือโมเดอร์นา หลังทางการสวีเดนระงับการใช้วัคซีนโควิด-19 ของแอสตราเซเนกา เป็นการชั่วคราว เมื่อเดือนมีนาคม ที่ผ่านมา เนื่องจากมีรายงานผู้ที่รับวัคซีนดังกล่าวบางราย มีภาวะลิ่มเลือดอุดตัน
158,วันนี้ (21 เมษายน 2564) ที่กระทรวงสาธารณสุข จ.นนทบุรี นายอนุทิน ชาญวีรกูล รองนายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงสาธารณสุข เปิดเผยว่า ได้มอบหมายให้ ศ.พญ.กุลกัญญา โชคไพบูลย์กิจ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล ประชุมคณะทำงานติดตามอาการไม่พึงประสงค์ภายหลังได้รับวัคซีนในช่วงบ่ายวันนี้ โดยผู้เชี่ยวชาญและนักวิชาการจะร่วมกันพิจารณา ซึ่งขณะนี้มีหลายสมมติฐาน และแถลงข้อสรุปที่ทุกฝ่ายเห็นพ้องต้องกันให้ทราบในบ่ายวันนี้ อย่างไรก็ตาม การฉีดวัคซีนอาจมีอาการไม่พึงเกิดขึ้นได้ ยืนยันว่าต้องสังเกตอาการหลังการฉีด 30 นาที หากมีอาการผิดปกติจะมีแพทย์ดูแลทันที ซึ่งที่ผ่านมาคนส่วนใหญ่ฉีดแล้วไม่มีผลข้างเคียง เชื่อว่าเกิดจากร่างกายของแต่ละคน มีปฏิกิริยาตอบสนองต่างกัน อย่างไรก็ตามเราต้องระวังมากขึ้น การตัดสินใจว่าฉีดต่อหรือจะหยุด ต้องได้รับการพิจารณาและคำแนะนำจากคณะกรรมการวิชาการชุดนี้ก่อน ซึ่งแม้แต่ผมในฐานะรัฐมนตรีก็สั่งไม่ได้ เพราะเป็นเรื่องทางวิชาการทางการแพทย์ ขณะนี้ไม่มีการชะลอฉีด แต่มีคำสั่งให้ดูแลสังเกตอาการเป็นพิเศษ และเตรียมพร้อมให้ความช่วยเหลือหากมีอาการไม่พึงประสงค์เกิดขึ้น
159,"สำนักงานควบคุมและป้องกันโรคแห่งเกาหลีใต้ หรือ เคดีซีเอ รายงานพบผู้ติดเชื้อโรคโควิด-19 รายใหม่ 735 คน ในรอบ 24 ชั่วโมง ที่ผ่านมา ซึ่งเป็นยอดผู้ติดเชื้อ มากกว่า 700 คน เป็นวันที่สองติดต่อกัน โดยส่วนใหญ่ยังคงเป็นการติดเชื้อแบบกลุ่มย่อยในพื้นที่กรุงโซล และจังหวัดคยองกี ส่งผลให้มียอดผู้ติดเชื้อสะสมมากกว่า 116,600 คน และมียอดผู้เสียชีวิต 1,808 คน"
160,พลเอก ประยุทธ์ จันทร์โอชา นายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงกลาโหม แถลงผ่านโทรทัศน์รวมการเฉพาะกิจแห่งประเทศไทย ว่า รัฐบาลเร่งดำเนินการฉีดวัคซีนที่ได้รับมอบแล้วจำนวน 2.1 ล้านโดส โดยจนถึงวันนี้ฉีดวัคซีนไปแล้ว 8.4 แสนคน พร้อมกันนี้รัฐบาลยังเร่งจัดหาวัคซีนเพิ่มเติม ตั้งเป้าหมายให้ครบ 100 ล้านโดส เพื่อฉีดให้กับประชาชน 50 ล้านคน ภายในสิ้นปี 2564 นี้ ซึ่งวัคซีน AstraZeneca 61 ล้านโดส เริ่มส่งมอบเดือนมิถุนายนนี้ จำนวน 6 ล้านโดส และในเดือนต่อไปอีกเดือนละ 10 ล้านโดส รวมถึงวัคซีนซิโนแวค 2.5 ล้านโดส
161,นพ.ไพศาล ดั่นคุ้ม เลขาธิการคณะกรรมการอาหารและยา เปิดเผยว่า ขณะนี้ตนเองได้ลงนามรับรองให้บริษัท สยามไบโอไซเอนซ์ จำกัด เป็นสถานที่ผลิตวัคซีนของแอสตร้าเซนเนก้าในประเทศไทยแล้ว หลังจากมีการตรวจสอบมาตรฐานการผลิตก่อนหน้านี้ไปแล้ว สำหรับการขึ้นทะเบียนใช้วัคซีนในประเทศไทยตอนนี้ยังผ่านการรับรอง 3 บริษัท คือ ซิโนแวค แอสตร้าเซนเนก้า และจอห์นสัน แอนด์ จอห์นสัน ส่วนยี่ห้ออื่นยังรอให้ยื่นเอกสารเข้ามา ส่วนกรณีที่นายอนุทิน ชาญวีรกูล รองนายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงสาธารณสุข ออกมาระบุว่ามีการเจรจาวัคซีนกับบริษัท ไฟเซอร์ และพร้อมแก้ระเบียบหลักเกณฑ์ให้นำเข้ามาได้โดยไม่ต้องผ่านการรับรอง อย. นั้น นพ.ไพศาล กล่าวว่า จริงๆ ต่อให้ส่งเร็วที่สุดแค่ไหนก็ต้องขึ้นทะเบียน แต่เค้าสามารถยื่นเอกสารมาก่อนที่วัคซีนจะมาถึงเพื่อพิจารณาได้ทันทีไม่เกินเดือนแล้วเสร็จแน่ ไม่ได้มีประเด็นอะไร
162,"นายแพทย์ทวีทรัพย์ ศิรประภาศิริ นายแพทย์ผู้ทรงคุณวุฒิ กรมควบคุมโรค กล่าวว่า วัคซีนโควิด-19 ขณะนี้ ได้รับแล้วทั้งสิ้น 2.5 ล้านโดส ต้องได้คนละ 2 โดสหรือเข็ม เท่ากลุ่มเป้าหมายต้องฉีดขณะนี้ 1.25 ล้านคน การฉีดจึงเป็นไปตามแผน เพราะภาพรวมขณะนี้ฉีดไปแล้ว 1,279,713 โดส เป็นผู้รับเข็ม 1 แล้ว 1,038,960 ราย ได้ครบ 2 เข็มแล้ว 240,753 ราย ซึ่งในช่วงนี้ยังเป็นช่วงที่วัคซีนยังมีจำกัด ที่ผ่านมาจึงเน้นฉีดให้กลุ่มบุคลากรทางการแพทย์ก่อนทั้งภาครัฐและเอกชน และใช้ในการควบคุมโรคในพื้นที่ที่มีการะบาด แต่เมื่อวัคซีนล็อตใหญ่ที่รัฐบาลสั่งซื้อไว้จากแอสตร้าเซนเนก้ามาถึง จะขยายการฉีดไปยังประชาชนกลุ่มเสี่ยงและเพิ่มอัตราฉีดให้มากและเร็วขึ้นได้ตามจำนวนวัคซีนที่มี"
163,นายแมตต์ แฮนค็อก รัฐมนตรีสาธารณสุขอังกฤษ ออกแถลงการณ์ที่ระบุว่า รัฐบาลอังกฤษสั่งซื้อวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค กว่า 60 ล้านโดส เพื่อเร่งกระบวนการฉีดวัคซีนโควิด-19 ของประเทศ รวมถึงป้องกันประชาชนกลุ่มเสี่ยงในช่วงฤดูหนาวปีนี้ และยังเป็นการเตรียมพร้อมรับมือการระบาดของเชื้อโควิด-19 กลายพันธุ์
164,นายอูกูร์ ซาฮิน ประธานเจ้าหน้าที่บริหารบริษัทไบโอเอ็นเทคของเยอรมนีแสดงความเชื่อมั่นในประสิทธิภาพของวัคซีนโควิด-19ที่ทางบริษัทพัฒนาร่วมกับไฟเซอร์ ว่า จะสามารถป้องกันเชื้อกลายพันธุ์สายพันธุ์อินเดียได้ โดยนายซาฮินกล่าวว่า ที่ผ่านมาได้มีการทดลองประสิทธิภาพของวัคซีนไฟเซอร์/ ไบโอเอ็นเทค กับ เชื้อโควิด-19 กว่า 30 สายพันธุ์ ซึ่งเกือบทุก             สายพันธุ์ วัคซีนมีประสิทธิภาพมในการป้องกันได้มากพอๆ กับสายพันธุ์ดั้งเดิม อย่างไรก็ตามสำหรับการทดลองประสิทธิภาพของวัคซีนกับสายพันธุ์อินเดียนั้นยังอยู่ระหว่างการดำเนินการ
165,นายอูกูร์ ซาฮิน ประธานเจ้าหน้าที่บริหารบริษัทไบโอเอ็นเทคของเยอรมนีแสดงความเชื่อมั่นในประสิทธิภาพของวัคซีนโควิด-19ที่ทางบริษัทพัฒนาร่วมกับไฟเซอร์ ว่า จะสามารถป้องกันเชื้อกลายพันธุ์สายพันธุ์อินเดียได้ โดยนายซาฮินกล่าวว่า ที่ผ่านมาได้มีการทดลองประสิทธิภาพของวัคซีนไฟเซอร์/ ไบโอเอ็นเทค กับ เชื้อโควิด-19 กว่า 30 สายพันธุ์ ซึ่งเกือบทุก             สายพันธุ์ วัคซีนมีประสิทธิภาพมในการป้องกันได้มากพอๆ กับสายพันธุ์ดั้งเดิม อย่างไรก็ตามสำหรับการทดลองประสิทธิภาพของวัคซีนกับสายพันธุ์อินเดียนั้นยังอยู่ระหว่างการดำเนินการ
166,"นายแพทย์ทวีศิลป์ วิษณุโยธิน โฆษกศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 หรือ ศบค. กล่าวว่า ที่ประชุมได้เน้นย้ำการจัดหาวัคซีนโควิด-19 โดยตั้งเป้าอย่างน้อยประชาชนร้อยละ 70 หรือประมาณ 50 ล้านคน ต้องได้รับวัคซีน รวม 100 ล้านโดส ภายในสิ้นปี 2564 ซึ่งขณะนี้จัดหาวัคซีนได้ 63 ล้านโดส ต้องหาเพิ่มเติม 37 ล้านโดส โดยหากสามารถจัดหาได้ 20 ล้านโดสต่อเดือน ก็จะทำให้สามารถฉีดวัคซีนให้กับประชาชนได้ครอบคลุมและรวดเร็วมากขึ้น ทั้งนี้กลุ่มเป้าหมายหลัก ประกอบด้วย บุคลากรทางการแพทย์และสาธารณสุข ,เจ้าหน้าที่ด่านหน้า ,ประชาชนที่มีโรคประจำตัว"
167,ออสเตรเลียระบุว่าการเสียชีวิตของผู้รับวัคซีนโควิด-19 สองรายไม่น่าจะเชื่อมโยงกับการฉีดวัคซีน
168,ศูนย์ต่อต้านข่าวปลอม เผยแพร่ข้อมูลกรณีมีการโพสต์ข้อความในสื่อออนไลน์ประเด็นเรื่องสำนักงานคณะกรรมการอาหารและยา หรือ อย. อนุมัติขึ้นทะเบียนวัคซีนโควิด-19 ถูกกฎหมายแล้ว 8 ผลิตภัณฑ์ ได้แก่ ซิโนแวค แอสตร้าเซนเนก้า จากอังกฤษ // แอสตร้าเซนเนก้า จากเกาหลี // ซิโนฟาร์มไฟเซอร์ โมเดิร์นนา จอห์นสันแอนด์จอห์นสัน และโควิชิลด์ ศูนย์ต่อต้านข่าวปลอมจึงตรวจสอบข้อเท็จจริงจาก อย. กระทรวงสาธารณสุขพบว่าประเด็นดังกล่าวเป็นข้อมูลเท็จชี้แจงว่าปัจจุบันมีวัคซีนป้องกันโรคโควิด-19 ที่ได้รับอนุมัติจาก อย. จำนวน 3 ผลิตภัณฑ์ ได้แก่ ผลิตภัณฑ์วัคซีนจากบริษัท Astra Zeneca ชื่อผลิตภัณฑ์ Covid-19 Vaccine AstraZeneca // ผลิตภัณฑ์วัคซีนจากบริษัท Sinovac Biotech ชื่อผลิตภัณฑ์ CoronaVac // และผลิตภัณฑ์วัคซีนจากบริษัท Johnson & Johnson ชื่อผลิตภัณฑ์ Covid 19 Vaccine Janssen
169,สิงคโปร์รายงานพบผู้ติดเชื้อโควิด-19 รายใหม่ 16 คน ทั้งหมดเป็นการติดเชื้อในประเทศ และนับเป็นตัวเลขผู้ติดเชื้อรายวันสูงสุดในรอบ 7 เดือน
170,"สื่ออิสราเอล รายงานว่า กระทรวงสาธารณสุขอิสราเอล เตรียมทำลายวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค อย่างน้อย 800,000 โดส ที่จะหมดอายุ ในช่วงปลายเดือนกรกฎาคมนี้ หากไม่สามารถหาผู้ซื้อได้ในอีก 2 สัปดาห์ข้างหน้า"
171,จังหวัดลำปางมีหนังสือด่วนที่สุด ลงวันที่ 30 มิถุนายน 2564 ส่งถึงหน่วยงานราชการ องค์กรปกครองส่วนท้องถิ่น และภาคเอกชน เรื่อง ขอความร่วมมือในการควบคุมการเดินทางของบุคคลเข้ามายังพื้นที่จังหวัดลำปาง เพื่อควบคุมสถานการณ์โรคโควิด 19 ของจังหวัด ให้อยู่ในสถานการณ์ที่จำกัด โดยระบุว่า ด้วยสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 ในพื้นที่จังหวัดลำปาง ในช่วง 4 วันที่ผ่านมา จังหวัดลำปางพบผู้ติดเชื้อรายใหม่จำนวน 4 ราย ซึ่งเป็นผู้ที่เดินทางมาจากพื้นที่ควบคุมสูงสุดและเข้มงวด และจากไทม์ไลน์ของผู้ติดเชื้อโควิด 19 ปรากฏว่าเมื่อเดินทางเข้ามาในพื้นที่จังหวัดลำปางแล้วไม่ได้ดำเนินการตามมาตรการควบคุมโรคจังหวัดลำปางได้กำหนดไว้คณะกรรมการโรคติดต่อจังหวัดลำปางได้มีมติในคราวการประชุม ครั้งที่ 28/2564 เมื่อวันที่ 29 มิถุนายน 2564 ทบทวนมาตรการควบคุมการเดินทางของบุคคลที่เข้ามายังพื้นที่จังหวัดลำปาง เพื่อให้สอดคล้องกับสถานการณ์ปัจจุบัน จังหวัดลำปางจึงขอเน้นย้ำให้ทุกภาคส่วนดำเนินการตามมาตรการที่จังหวัดลำปางกำหนด ดังนี้
172,วัคซีนโควิด-19 ของแอสตราเซเนกาที่ผลิตในอินเดีย หรือที่เรียกว่า โควิชีลด์ ไม่ผ่านการอนุมัติใช้ในสหภาพยุโรป เนื่องจากเป็นไปได้ว่าอาจมีความแตกต่างจากวัคซีนแอสตราเซเนกาดั้งเดิม
173,บริษัทเคียวร์แวคของเยอรมนีเปิดเผยผลการทดลองขั้นสุดท้ายชี้ว่า วัคซีนโควิด-19ชนิด                เอ็มอาร์เอ็นเอ ที่บริษัทพัฒนาขึ้น มีประสิทธิภาพเพียงร้อยละ 48 เท่านั้น ซึ่งต่ำกว่าวัคซีนชนิด              เดียวกันของไฟเซอร์/ ไบโอเอ็นเทคและโมเดอร์นา ค่อนข้างมาก โดยผลการทดลองดังกล่าวเป็นไปตามคาด หลังผลการทดลองเบื้องต้นที่มีการเผยแพรก่อนหน้านี้พบว่าวัคซีนมีประสิทธิภาพต่ำ
174,"โปรยหัว:        ทั่วโลกตระหนักถึงความร้ายกาจของโรคโควิด-19 และทราบดีว่าวัคซีนเป็นหนทางเดียวที่จะเอาชนะการระบาดใหญ่ครั้งนี้ได้ แต่ขณะที่หลายชาติเดินหน้าฉีดวัคซีนอย่างเต็มที่ ประชาชนในบางประเทศกลับยังเฝ้ารอวัคซีนเข็มแรกของพวกเขาอยู่  ซึ่งเป็นความเหลื่อมล้ำที่เห็นได้ชัดในเวลานี้...ติดตามเรื่องนี้จากรายงานพิเศษ..//  ผู้รายงาน:      การระบาดใหญ่ของโรคโควิด-19จะสิ้นสุดลงได้ก็ต่อเมื่อประชากรส่วนใหญ่ในโลกมีภูมิคุ้มกันต่อไวรัสร้ายที่ก่อโรคนี้ ซึ่งเป้าหมายดังกล่าวจะบรรลุผลได้ด้วยการฉีดวัคซีน        เหมือนเช่นเมื่อครั้งเกิดโรคระบาดที่ผ่านมา ด้วยเหตุนี้แต่ละประเทศจึงเดินหน้าฉีดวัคซีนอย่างเต็มที่ ทำให้จนถึงขณะนี้ทั่วโลกมีการฉีดวัคซีนโควิด-19 แล้วกว่า 3,000 ล้านโดส                       อย่างไรก็ตามเนื่องจากครั้งนี้เป็นการระบาดใหญ่ วัคซีนเป็นที่ต้องการปริมาณมาก และการที่ชาติร่ำรวยพากันกักตุนวัคซีนก็ทำให้บางประเทศยังไม่สามารถขับเคลื่อนโครงการฉีดวัคซีนได้ รวมถึง 5 ชาติสมาชิกองค์การอนามัยโลกอย่างบุรุนดี แทนซาเนีย เฮติ เกาหลีเหนือและเอริเทรีย ที่ยังไม่ได้ฉีดวัคซีนแม้เพียงโดสเดียว เป็นความเหลื่อมล้ำที่เห็นได้อย่างชัดเจน"
175,วัคซีนโควิด-19 ของแอสตราเซเนกาที่ผลิตในอินเดีย หรือที่เรียกว่า โควิชีลด์ ไม่ผ่านการอนุมัติใช้ในสหภาพยุโรป เนื่องจากเป็นไปได้ว่าอาจมีความแตกต่างจากวัคซีนแอสตราเซเนกาดั้งเดิม
176,บริษัทเคียวร์แวคของเยอรมนีเปิดเผยผลการทดลองขั้นสุดท้ายชี้ว่า วัคซีนโควิด-19ชนิดเอ็มอาร์เอ็นเอ ที่บริษัทพัฒนาขึ้น มีประสิทธิภาพเพียงร้อยละ 48 เท่านั้น ซึ่งต่ำกว่าวัคซีนชนิดเดียวกันของไฟเซอร์/ ไบโอเอ็นเทคและโมเดอร์นา ค่อนข้างมาก โดยผลการทดลองดังกล่าวเป็นไปตามคาด หลังผลการทดลองเบื้องต้นที่มีการเผยแพรก่อนหน้านี้พบว่าวัคซีนมีประสิทธิภาพต่ำ
177,"กระทรวงสาธารณสุข ใช้แนวทาง 4 D (Diet, Development & play, Dental และ Diseases) ยกระดับสถานพัฒนาเด็กปฐมวัย ส่งเสริมพัฒนาการด้านอาหาร การเล่น สุขภาพฟัน และการป้องกันโรค พร้อมย้ำให้ สถานพัฒนาเด็กปฐมวัยเข้มงวดมาตรการของกระทรวงสาธารณสุขอย่างเคร่งครัดป้องกันโควิด-19"
178,สำนักข่าวเอเอฟพี รายงานโดยอ้างแถลงการณ์ของ ดร.มาร์โค คาวาเลอรี หัวหน้าฝ่ายยุทธศาสตร์ด้านวัคซีนขององค์การยาแห่งสหภาพยุโรป หรือ อีเอ็มเอ ที่ระบุว่า วัคซีนโควิด-19 ได้รับการอนุมัติให้ใช้ในสหภาพยุโรป ทั้ง 4 ชนิด ประกอบด้วยวัคซีนของไฟเซอร์-ไบโอเอ็นเทค โมเดอร์นา แอสตราเซเนกา และจอห์นสันแอนด์จอห์นสัน มีประสิทธิภาพในการต้านเชื้อโควิด-19 ทุกสายพันธุ์ รวมถึงสายพันธุ์เดลตา ที่แพร่ระบาดอย่างรวดเร็ว
179,กระทรวงสาธารณสุขแอฟริกาใต้เปิดเผยว่า หน่วยงานกำกับดูแลผลิตภัณฑ์ด้านสุขภาพแห่งชาติอนุมัติการใช้วัคซีนโควิด-19 “โคโรนาแวค” ของบริษัทซิโนแวค ไบโอเทค จากจีน เป็นกรณีฉุกเฉินแล้วนับเป็นวัคซีนขนานที่ 4 ที่อนุมัติให้ใช้ในประเทศถัดจากวัคซีนของไฟเซอร์-ไบโอเอ็นเทค แอสตราเซเนกา และจอห์นสันแอนด์จอห์นสัน เพื่อเร่งโครงการฉีดวัคซีน-19 หลังมีประชากรที่ได้รับวัคซีนครบโดสแล้ว เพียงร้อยละ 5 หรือประมาณ 3 ล้าน 3 แสนคน จากประชากรทั้งหมด กว่า 60 ล้านคน
180,อิสราเอลกำลังเจรจากับประเทศอื่น ๆ เพื่อมอบวัคซีนโควิด-19 ของไฟเซอร์/                    ไบโอเอ็นเทค ส่วนเกินที่จะหมดอายุภายในสิ้นเดือนนี้ โดยการทำข้อตกลงใดๆ จะต้องได้รับการอนุมัติจากบริษัทไฟเซอร์ก่อน
